movieid,name
1672580,"Paramount Pictures [us] - (1997) (USA) (theatrical)"
1672580,"Ufilms [es] - (Spain)"
1672580,"United International Pictures (UIP) [fr] - (France)"
1672580,"United International Pictures (UIP) [gb] - (UK)"
1672716,"American Broadcasting Company (ABC) [us] - (1989) (USA) (TV)"
1672716,"Anchor Bay Entertainment (UK) [gb] - (2009) (UK) (DVD)"
1672716,"IDA films [es] - (2009) (Spain) (video)"
1672716,"MCA Home Video [us] - (1987) (USA) (laserdisc)"
1672716,"MCA Home Video [us] - (1987) (USA) (VHS)"
1672716,"United International Pictures (UIP) [se] - (1987) (Sweden) (theatrical)"
1672716,"Universal Pictures [us] - (1986) (USA) (theatrical)"
1672716,"Universal Studios Home Entertainment [us] - (2010) (USA) (DVD)"
1672716,"Universal Studios Home Video [us] - (2000) (USA) (VHS) (reissue)"
1673647,"Kino Video [us] - (2002) (USA) (DVD)"
1673647,"Kino Video [us] - (????) (USA) (VHS)"
1673647,"Les Artistes Associés [fr] - (1961) (France) (theatrical)"
1673647,"Magna - (1962) (USA) (theatrical) (dubbed)"
1673647,"Mill Creek Entertainment [us] - (????) (USA) (DVD)"
1673647,"Talma Filmes [pt]"
1673658,"Brentwood Home Video [us] - (2002) (USA) (DVD)"
1673848,"Buena Vista Home Entertainment [br] - (2003) (Brazil) (DVD)"
1673848,"Buena Vista Home Entertainment [br] - (200?) (Brazil) (VHS)"
1673848,"Buena Vista Home Entertainment [nl] - (2003) (Netherlands) (DVD)"
1673848,"Buena Vista Home Video [nl] - (2000) (Netherlands) (VHS)"
1673848,"Buena Vista International Mexico [mx] - (1999) (Mexico) (theatrical)"
1673848,"Buena Vista International Spain [es] - (1999) (Spain) (theatrical)"
1673848,"Buena Vista International [ar] - (1999) (Argentina) (theatrical)"
1673848,"Buena Vista International [de] - (1999) (Germany) (theatrical)"
1673848,"Buena Vista International [nl] - (1999) (Netherlands) (theatrical)"
1673848,"Buena Vista Pictures [us] - (1999) (USA) (theatrical)"
1673848,"Falcon [cz] - (1999) (Czech Republic) (theatrical)"
1673848,"Filmes Lusomundo [pt] - (1999) (Portugal) (theatrical)"
1673848,"Gativideo [ar] - (200?) (Argentina) (VHS)"
1673848,"Gaumont Buena Vista International (GBVI) [fr] - (2000) (France) (theatrical)"
1673848,"Walt Disney Studios Home Entertainment [nl] - (2010) (Netherlands) (DVD) (10th anniversary edition)"
1673848,"Walt Disney Studios Home Entertainment [nl] - (2010) (Netherlands) (DVD) (Blu-ray) (10th anniversary edition)"
1673848,"Walt Disney Studios Home Entertainment [us] - (2010) (USA) (DVD) (10th anniversary edition)"
1673848,"Walt Disney Studios Home Entertainment [us] - (2010) (USA) (DVD) (Blu-ray) (10th anniversary edition)"
1673848,"Yorin [nl] - (2003) (Netherlands) (TV)"
1674388,"American Broadcasting Company (ABC) [us] - (1998) (USA) (TV) (broadcast premiere)"
1674388,"Audio Visual Enterprises [gr] - (1998) (Greece) (VHS)"
1674388,"Buena Vista Home Entertainment [br] - (Brazil) (DVD)"
1674388,"Buena Vista Home Entertainment [br] - (Brazil) (VHS)"
1674388,"Buena Vista Home Video [nl] - (1997) (Netherlands) (VHS)"
1674388,"Buena Vista International (Sweden) [se] - (1997) (Sweden) (theatrical)"
1674388,"Buena Vista International Finland [fi] - (1997) (Finland) (theatrical)"
1674388,"Buena Vista International Italia [it] - (1997) (Italy) (theatrical)"
1674388,"Buena Vista International [ar] - (1996) (Argentina) (theatrical)"
1674388,"Buena Vista International [de] - (1997) (Germany) (theatrical)"
1674388,"Buena Vista International [gb] - (1996) (UK) (theatrical)"
1674388,"Buena Vista International [jp] - (1997) (Japan) (theatrical)"
1674388,"Buena Vista International [nl] - (1997) (Netherlands) (theatrical)"
1674388,"Buena Vista Pictures [us] - (1996) (USA) (theatrical)"
1674388,"Falcon [cz] - (1997) (Czech Republic) (theatrical)"
1674388,"Filmes Lusomundo [pt] - (1997) (Portugal) (theatrical)"
1674388,"Gativideo [ar] - (199?) (Argentina) (VHS)"
1674388,"Gaumont Buena Vista International (GBVI) [fr] - (1997) (France) (theatrical)"
1674388,"Laurenfilm [es] - (1997) (Spain) (theatrical)"
1674388,"Prooptiki [gr] - (1997) (Greece) (theatrical)"
1674388,"Walt Disney Home Video [us] - (1997) (USA) (VHS)"
1674388,"Walt Disney Home Video [us] - (2000) (USA) (DVD)"
1674388,"Warner Home Video [nl] - (1998) (Netherlands) (DVD) (VHS)"
1674737,"20th Century Fox Home Entertainment Japan [jp] - (2001) (Japan) (DVD)"
1674737,"20th Century Fox Home Entertainment [br] - (2003) (Brazil) (DVD)"
1674737,"20th Century Fox Home Entertainment [us] - (2007) (USA) (DVD)"
1674737,"20th Century Fox Home Entertainment [us] - (2008) (USA) (DVD)"
1674737,"Criterion Collection, The [us] - (2011) (USA) (DVD) (Blu-ray)"
1674737,"Criterion Collection, The [us] - (USA) (laserdisc)"
1674737,"Emerald [ar] - (2008) (Argentina) (DVD)"
1674737,"Les Artistes Associés [fr] - (1958) (France) (theatrical)"
1674737,"Metro-Goldwyn-Mayer (MGM) [us] - (video)"
1674737,"MGM Home Entertainment [de] - (2001) (Germany) (DVD)"
1674737,"MGM Home Entertainment [us] - (2007) (USA) (DVD)"
1674737,"MGM/UA Home Entertainment [us] - (DVD)"
1674737,"MGM/UA Home Entertainment [us] - (VHS)"
1674737,"Nova Film [nl] - (1957) (Netherlands) (theatrical)"
1674737,"SF Home Entertainment [se] - (2005) (Sweden) (DVD)"
1674737,"Shochiku Select [jp] - (1959) (Japan) (theatrical)"
1674737,"United Artists Films [fi] - (1957) (Finland) (theatrical)"
1674737,"United Artists [us] - (1957) (USA) (theatrical) (as A United Artists Presentation)"
1674737,"Varus Video [ru] - (Russia) (VHS)"
1674737,"Yleisradio (YLE) [fi] - (1967) (1978) (2004) (2010) (2011) (Finland) (TV)"
1677011,"Arcade Movie Company [nl] - (1998) (Netherlands) (VHS)"
1677011,"Argentina Video Home [ar] - (1997) (Argentina) (VHS)"
1677011,"Audio Visual Enterprises [gr] - (1997) (Greece) (VHS)"
1677011,"Avsar Film [tr] - (1996) (Turkey) (theatrical)"
1677011,"Bridge Entertainment Group [nl] - (2000) (Netherlands) (DVD)"
1677011,"Columbia TriStar Home Entertainment [de] - (2003) (Germany) (DVD)"
1677011,"Concorde Film [nl] - (1997) (Netherlands) (theatrical)"
1677011,"Entertainment Film Distributors [gb] - (1996) (UK) (theatrical)"
1677011,"Entertainment in Video [gb] - (2001) (UK) (DVD)"
1677011,"Eurocine [ar] - (1997) (Argentina) (theatrical)"
1677011,"Home Box Office Home Video (HBO) [us] - (1997) (USA) (DVD)"
1677011,"Líder Films [es] - (1997) (Spain) (theatrical)"
1677011,"Metro-Goldwyn-Mayer (MGM) [us] - (1996) (USA) (theatrical)"
1677011,"Roadshow Entertainment Video [au] - (Australia) (VHS)"
1677011,"Roadshow Entertainment [au] - (1997) (Australia) (theatrical)"
1677011,"TiMe Filmverleih [de] - (1997) (Germany) (theatrical)"
1677258,"Compagnie Française de Distribution Cinématographique (CFDC) [fr] - (1967) (France) (theatrical)"
1677258,"Criterion Collection, The [us] - (2009) (USA) (DVD)"
1677258,"Divisa Home Video [es] - (2012) (Spain) (DVD)"
1677258,"KinoVista [fr] - (2006) (Russia) (TV)"
1677258,"La Société des Films Sirius [fr] - (1967) (France) (theatrical)"
1677258,"Madman Entertainment [au] - (2006) (Australia) (DVD)"
1677258,"Madman Entertainment [au] - (2006) (New Zealand) (DVD)"
1677258,"New Yorker Films [us] - (1970) (USA) (theatrical) (subtitled)"
1677258,"Rialto Pictures [us] - (2006) (USA) (theatrical) (re-release)"
1677258,"Ripley's Home Video [it] - (2006) (Italy) (DVD)"
1677258,"Union Générale Cinématographique (UGC) [fr] - (1967) (France) (theatrical)"
1677346,"Fox Searchlight Pictures [us] - (1999) (USA)"
1677346,"Manga Films [es] - (2000) (Spain) (all media)"
1677346,"Opening Distribution [fr] - (France)"
1677346,"Sherlock Media S.L. [es] - (2000) (Spain) (theatrical)"
1677346,"Twentieth Century Fox Film Corporation [us]"
1677472,"American Mutoscope & Biograph [us] - (1905) (worldwide) (theatrical)"
1677516,"Alta Films [es] - (Spain)"
1677516,"Aquarius TV [gr] - (2005) (Greece) (DVD)"
1677516,"Aquarius TV [gr] - (2005) (Greece) (TV)"
1677516,"Ascot Elite Entertainment Group [ch] - (1999) (Switzerland) (theatrical)"
1677516,"Aurum Producciones [es] - (Spain)"
1677516,"BMG Video [de] - (2000) (Germany) (DVD)"
1677516,"Gativideo [ar] - (2000) (Argentina) (VHS)"
1677516,"Líder Films [es] - (1999) (Argentina) (theatrical)"
1677516,"Paramount Pictures [us] - (1999) (USA) (theatrical)"
1677516,"Scotia International Filmverleih [de] - (1999) (Germany) (theatrical)"
1677516,"Universum Film (UFA) [de] - (2003) (Germany) (DVD)"
1677631,"Argentina Video Home [ar] - (2002) (Argentina) (DVD)"
1677631,"Argentina Video Home [ar] - (2002) (Argentina) (VHS) (re-release)"
1677631,"Argentina Video Home [ar] - (????) (Argentina) (VHS)"
1677631,"Cinema International Corporation (CIC) [it] - (1968) (Italy) (theatrical)"
1677631,"Cinéma International Corporation (CIC) [se] - (1968) (Sweden) (theatrical)"
1677631,"Criterion Collection, The [us] - (????) (USA) (video) (laserdisc)"
1677631,"Esselte Video [se] - (????) (Sweden) (VHS)"
1677631,"Filmipaja [fi] - (1968) (Finland) (theatrical)"
1677631,"Metro-Goldwyn-Mayer (MGM) [fr] - (1968) (France) (theatrical)"
1677631,"Metro-Goldwyn-Mayer (MGM) [se] - (1968) (Sweden) (theatrical)"
1677631,"Metro-Goldwyn-Mayer (MGM) [us] - (1968) (USA) (theatrical) (as MGM/UA)"
1677631,"MGM/CBS Home Video [us] - (1981) (USA) (video) (CED VideoDisc)"
1677631,"MGM/UA Home Entertainment [us] - (1991) (USA) (video) (laserdisc)"
1677631,"MGM/UA Home Entertainment [us] - (1993) (USA) (video) (laserdisc)"
1677631,"MGM/UA Home Entertainment [us] - (1997) (USA) (VHS)"
1677631,"MGM/UA Home Entertainment [us] - (1997) (USA) (video) (laserdisc)"
1677631,"MGM/UA Home Entertainment [us] - (1998) (USA) (DVD)"
1677631,"National Broadcasting Company (NBC) [us] - (1977) (USA) (TV) (broadcast premiere)"
1677631,"Sandrews [se] - (2001) (Sweden) (DVD)"
1677631,"Turner Entertainment [us] - (1999) (USA) (VHS)"
1677631,"Varus Video [ru] - (????) (Russia) (VHS)"
1677631,"Warner Bros. [ar] - (2002) (Argentina) (all media) (re-release)"
1677631,"Warner Bros. [de] - (2001) (Germany) (theatrical) (re-release)"
1677631,"Warner Bros. [fr] - (2001) (France) (theatrical) (re-release)"
1677631,"Warner Bros. [jp] - (2001) (Japan) (theatrical) (re-release)"
1677631,"Warner Home Vídeo [br] - (????) (Brazil) (DVD)"
1677631,"Warner Home Vídeo [br] - (????) (Brazil) (VHS)"
1677631,"Warner Home Video [de] - (2001) (Germany) (DVD)"
1677631,"Warner Home Video [de] - (2007) (Germany) (DVD) (Blu-ray)"
1677631,"Warner Home Video [it] - (2001) (Italy) (DVD)"
1677631,"Warner Home Video [it] - (2007) (Italy) (DVD) (special edition)"
1677631,"Warner Home Video [nl] - (2001) (Netherlands) (DVD)"
1677631,"Warner Home Video [nl] - (2007) (Netherlands) (DVD) (Blu-Ray Disc)"
1677631,"Warner Home Video [nl] - (2007) (Netherlands) (DVD) (two-disc special edition)"
1677631,"Warner Home Video [se] - (2007) (Sweden) (DVD)"
1677631,"Warner Home Video [se] - (2007) (Sweden) (DVD) (Blu-Ray Disc)"
1677631,"Warner Home Video [se] - (2007) (Sweden) (DVD) (HD-DVD)"
1677631,"Warner Home Video [us] - (1999) (USA) (VHS)"
1677631,"Warner Home Video [us] - (2000) (USA) (DVD)"
1677631,"Warner Home Video [us] - (2001) (USA) (DVD)"
1677631,"Warner Home Video [us] - (????) (USA) (VHS)"
1678036,"Argentina Video Home [ar] - (1985) (Argentina) (VHS)"
1678036,"Argentina Video Home [ar] - (2000) (Argentina) (DVD)"
1678036,"Argentina Video Home [ar] - (2009) (Argentina) (DVD) (Blu-ray)"
1678036,"Audio Visual Enterprises [gr] - (1985) (Greece) (VHS)"
1678036,"Chapel Distribution [au] - (1997) (Australia) (theatrical)"
1678036,"Cinema International Corporation (CIC) [fr] - (1985) (France) (theatrical)"
1678036,"MGM/UA Entertainment Company [us]"
1678036,"Sandrews [se] - (2000) (Sweden) (DVD)"
1678036,"United International Pictures (UIP) [se] - (1985) (Sweden) (theatrical)"
1678036,"Vídeo Arte [br] - (1990) (Brazil) (VHS)"
1678036,"Warner Bros. [ar] - (2000) (Argentina) (all media) (re-release)"
1678036,"Warner Home Video [de] - (2000) (Germany) (DVD)"
1678036,"Warner Home Video [de] - (2009) (Germany) (DVD) (Blu-ray)"
1678036,"Warner Home Video [gb] - (2000) (UK) (DVD)"
1678036,"Warner Home Video [gb] - (2009) (UK) (DVD) (Blu-ray)"
1678036,"Warner Home Video [us] - (worldwide)"
1678591,"Alta Films [es] - (Spain)"
1678591,"Argentina Video Home [ar] - (Argentina) (video)"
1678591,"Atalanta Filmes [pt] - (Portugal)"
1678591,"Bedford Entertainment [us]"
1678591,"Finnkino [fi] - (1999) (Finland) (theatrical)"
1678591,"Finnkino [fi] - (2000) (Finland) (VHS)"
1678591,"Finnkino [fi] - (2004) (Finland) (DVD)"
1678591,"October Films [us] - (1998) (USA)"
1678591,"Pathé [gb] - (1997) (UK) (theatrical)"
1678591,"Pathé [gb] - (1999) (UK) (VHS)"
1678591,"Pathé [gb] - (2003) (UK) (DVD)"
1678591,"Primer Plano Film Group [ar] - (Argentina)"
1678591,"RCV Film Distribution [nl] - (Belgium)"
1678591,"RCV Film Distribution [nl] - (Luxembourg)"
1678591,"RCV Film Distribution [nl] - (Netherlands)"
1678591,"Tobis Filmkunst [de] - (Germany)"
1678591,"Universum Film (UFA) [de] - (2001) (Germany) (VHS)"
1678591,"Yleisradio (YLE) [fi] - (2005) (Finland) (TV) (Teema)"
1679029,"American Broadcasting Company (ABC) [us] - (2003) (USA) (TV) (broadcast premiere)"
1679029,"Columbia Pictures [us] - (2000) (USA) (theatrical) (a Sony Pictures Entertainment company)"
1679029,"Columbia TriStar Film [de] - (2000) (Germany) (theatrical)"
1679029,"Columbia TriStar Films de Argentina [ar] - (2000) (Argentina) (theatrical)"
1679029,"Columbia TriStar Films [fr] - (2000) (France) (theatrical)"
1679029,"Columbia TriStar Films [nl] - (2000) (Netherlands) (theatrical)"
1679029,"Columbia TriStar Home Entertainment [nl] - (2001) (Netherlands) (DVD)"
1679029,"Columbia TriStar Home Video [nl] - (2000) (Netherlands) (VHS)"
1679029,"Columbia TriStar Home Video [us] - (2000) (USA) (DVD) (special edition)"
1679029,"Columbia TriStar [br] - (200?) (Brazil) (DVD)"
1679029,"Columbia TriStar [br] - (200?) (Brazil) (VHS)"
1679029,"Falcon [cz] - (2000) (Czech Republic) (theatrical)"
1679029,"LK-TEL [ar] - (200?) (Argentina) (VHS)"
1679029,"Net5 [nl] - (2003) (Netherlands) (TV) (first national airing)"
1679029,"Sony Pictures Entertainment (SPE) [us] - (2000-2001) (worldwide) (all media)"
1679029,"Sony Pictures Home Entertainment [nl] - (2007) (Netherlands) (DVD)"
1679029,"Sony Pictures Releasing [us] - (2000) (USA) (theatrical)"
1679029,"Sony Pictures Television [us] - (????) (USA) (TV)"
1679029,"Sony Pictures Video [jp] - (200?) (Japan) (DVD)"
1679461,"Columbia TriStar Films de Argentina [ar] - (2001) (Argentina) (all media)"
1679461,"Columbia TriStar Films [fr]"
1679461,"Columbia TriStar Home Entertainment [nl] - (2001) (Netherlands) (DVD)"
1679461,"Columbia TriStar Home Video [nl] - (1999) (Netherlands) (VHS)"
1679461,"LK-TEL [ar] - (2001) (Argentina) (DVD)"
1679461,"LK-TEL [ar] - (2001) (Argentina) (VHS)"
1679461,"Sony Pictures Entertainment (SPE) [us]"
1679461,"TriStar Pictures [us]"
1679507,"20th Century Fox Home Entertainment [br] - (Brazil) (VHS)"
1679507,"Egmont Entertainment [fi] - (2001) (Finland) (video)"
1679507,"Metro-Goldwyn-Mayer Distributing Corporation (MGM) [us]"
1679920,"Arrow - (1996) (USA) (subtitled)"
1679920,"Koch Vision [us] - (2005) (USA) (DVD)"
1681633,"América Vídeo [br] - (Brazil) (VHS)"
1681633,"Cannon Film Distributors [us] - (1986) (USA) (theatrical)"
1681633,"Cannon Group [us] - (1986) (USA) (theatrical)"
1681633,"Esselte Video [fi] - (1990) (Finland) (VHS)"
1681633,"FS Film Oy [fi] - (2004) (Finland) (DVD)"
1681633,"Hoyts Distribution [au] - (1987) (Australia) (theatrical)"
1681633,"Media Home Entertainment [us] - (1987) (USA) (VHS)"
1681633,"MGM Home Entertainment [de] - (2004) (Germany) (DVD)"
1681633,"MTC Video [gr] - (1988) (Greece) (VHS)"
1681633,"Nelonen [fi] - (1998) (Finland) (TV)"
1681633,"Oy Europa Vision AB [fi] - (1987) (Finland) (theatrical)"
1681633,"Pan-Canadian Film Distributors [ca] - (198?) (Canada) (theatrical)"
1681633,"RCA/Columbia-Hoyts Home Video [au] - (19??) (Australia) (VHS)"
1681633,"Sandrew Film & Teater [se] - (1987) (Sweden) (theatrical)"
1681633,"Scotia-Cannon [de] - (1987) (West Germany) (theatrical)"
1681633,"Vestron Video International [be] - (1987) (Belgium) (VHS)"
1681633,"Vestron Video International [nl] - (1987) (Netherlands) (VHS)"
1681633,"VMP [de] - (1987) (West Germany) (VHS)"
1681655,"Alliance Atlantis Communications [ca] - (Canada)"
1681655,"Arthaus Filmverleih [de] - (2012) (Germany) (DVD)"
1681655,"Asmik Ace Entertainment [jp] - (Japan)"
1681655,"Bac Films [fr] - (1999) (France) (theatrical)"
1681655,"Buena Vista Home Video [us] - (1999) (USA) (video)"
1681655,"Buena Vista International [ar] - (1999) (Argentina) (theatrical)"
1681655,"Gativideo [ar] - (Argentina) (video)"
1681655,"Kinowelt Filmverleih [de] - (1998) (Germany) (theatrical)"
1681655,"Kinowelt Home Entertainment [de] - (1999) (Germany) (DVD)"
1681655,"Laurenfilm [es] - (1998) (Spain) (theatrical)"
1681655,"Miramax Films [us] - (1998) (USA) (theatrical)"
1681655,"New Films International [us]"
1681655,"RCV Film Distribution [nl] - (Belgium)"
1681655,"RCV Film Distribution [nl] - (Luxembourg)"
1681655,"RCV Film Distribution [nl] - (Netherlands)"
1681655,"Scanbox Entertainment [fi] - (1999) (Finland) (theatrical)"
1681655,"Televicine S.A. de C.V. [mx] - (Mexico)"
1682657,"Arcade Movie Company [nl] - (199?) (Netherlands) (VHS)"
1682657,"Bridge Entertainment Group [nl] - (2000) (Netherlands) (DVD)"
1682657,"Buena Vista Home Entertainment [fi] - (1999) (Finland) (VHS)"
1682657,"Carlton Film Distributors [gb] - (1997) (UK) (theatrical)"
1682657,"CTV International [fr] - (1997) (France) (theatrical)"
1682657,"Divisa Home Video [es] - (2011-2013) (Spain) (DVD)"
1682657,"Epix Media [de] - (2005) (Germany) (DVD)"
1682657,"Filmes Lusomundo [pt] - (1998) (Portugal) (theatrical)"
1682657,"Front Row Filmed Entertainment [ae] - (2003) (United Arab Emirates) (all media) (Middle East)"
1682657,"Metromedia Entertainment Group [us] - (200?) (USA) (DVD)"
1682657,"Nelonen [fi] - (2006) (Finland) (TV)"
1682657,"Orion Pictures Corporation [us] - (1997) (USA) (theatrical)"
1682657,"SF Video [se] - (1997) (Sweden) (VHS)"
1682657,"Sony Pictures Television [us] - (????) (USA) (TV)"
1682692,"América Vídeo [br] - (Brazil) (VHS)"
1682692,"Fox Network [us] - (1999) (USA) (TV) (broadcast premiere)"
1682692,"New Line Cinema [us] - (1994) (USA) (theatrical)"
1682746,"Alameda Films [mx]"
1682746,"Bontonfilm [cz] - (Czech Republic)"
1682746,"Distribution Company [ar] - (Argentina)"
1682746,"Europa Filmes [br] - (Brazil) (DVD)"
1682746,"Europa Filmes [br] - (Brazil) (VHS)"
1682746,"Filmcoopi Zürich [ch] - (1999) (Switzerland) (theatrical)"
1682746,"Films sans Frontières [fr] - (France) (theatrical)"
1682746,"Kinetique [jp]"
1682746,"Lions Gate Films Home Entertainment [us] - (2003) (USA) (DVD)"
1682746,"Lions Gate Films [us] - (2000) (USA) (theatrical)"
1682746,"Motion International [ca] - (Canada)"
1682746,"Movie Television Inc. [jp]"
1682746,"Umbrella Entertainment [au] - (2010) (Australia) (DVD)"
1682746,"Umbrella Entertainment [au] - (2010) (Australia) (video) (VOD)"
1682746,"Vitória Filmes [pt] - (Portugal)"
1682922,"Columbia Pictures [us] - (1999) (USA) (theatrical)"
1682922,"Columbia TriStar Film [de] - (1999) (Germany) (theatrical)"
1682922,"Columbia TriStar Films AB [se] - (1999) (Sweden) (theatrical)"
1682922,"Columbia TriStar Films de Argentina [ar] - (1999) (Argentina) (theatrical)"
1682922,"Columbia TriStar Films de España [es] - (1999) (Spain) (theatrical)"
1682922,"Columbia TriStar Films [fr] - (1999) (France) (theatrical)"
1682922,"Columbia TriStar Films [nl] - (1999) (Netherlands) (theatrical)"
1682922,"Columbia TriStar Home Entertainment [de] - (1999) (Germany) (DVD)"
1682922,"Columbia TriStar Home Video [nl] - (2000) (Netherlands) (VHS)"
1682922,"Columbia TriStar Home Video [us] - (1999) (USA) (VHS)"
1682922,"Columbia TriStar [br] - (1999) (Brazil) (VHS)"
1682922,"Egmont Film [se] - (1999) (Sweden) (VHS)"
1682922,"Falcon [cz] - (1999) (Czech Republic) (theatrical)"
1682922,"Fox-Warner [ch] - (1999) (Switzerland) (theatrical)"
1682922,"LK-TEL [ar] - (2000) (Argentina) (VHS)"
1682922,"Renaissance Egypt Company [eg] - (1999) (Egypt) (theatrical)"
1682922,"SBS6 [nl] - (2002) (Netherlands) (TV)"
1682922,"Sony Pictures Entertainment (SPE) [us] - (1999) (USA) (theatrical)"
1682922,"Sony Pictures Entertainment [jp] - (1999) (Japan) (theatrical)"
1682922,"Sony Pictures Home Entertainment [br] - (1999) (Brazil) (DVD)"
1682922,"Svenska Filminstitutet (SFI) [se] - (2001) (Sweden) (DVD)"
1684201,"Acteurs Auteurs Associés (AAA) [fr] - (2011) (France) (all media)"
1684201,"Aquarius TV [gr] - (2001) (Greece) (TV)"
1684201,"Cannes Home Vídeo [br] - (199?) (Brazil) (VHS)"
1684201,"Dove - (1996) (USA)"
1684201,"Malofilm Home Video [ca] - (1996) (Canada) (VHS)"
1684201,"Paramount Home Video [us] - (1996) (USA) (VHS)"
1684430,"Aquarius TV [gr] - (2000) (Greece) (TV)"
1684430,"Cecchi Gori Home Video [it] - (1994) (Italy) (VHS)"
1684430,"Cecchi Gori Home Video [it] - (2001) (Italy) (DVD)"
1684430,"Concorde Film [nl] - (1995) (Netherlands) (theatrical)"
1684430,"Cosmos Home Entertainment [nl] - (199?) (Netherlands) (VHS)"
1684430,"Dutch FilmWorks (DFW) [nl] - (2002) (Netherlands) (DVD)"
1684430,"Empire [ro] - (2008) (Romania) (DVD)"
1684430,"EuroVideo [de] - (2000) (Germany) (DVD)"
1684430,"Home Box Office Home Video (HBO) [us] - (1994) (USA) (video) (laserdisc)"
1684430,"Home Box Office Home Video (HBO) [us] - (1995) (USA) (VHS)"
1684430,"Home Box Office Home Video (HBO) [us] - (1998) (USA) (DVD)"
1684430,"Home Box Office Home Video (HBO) [us] - (1998) (USA) (VHS) (widescreen)"
1684430,"Les Films Number One [fr] - (1994) (France) (theatrical)"
1684430,"Savoy Pictures [us] - (1993) (USA) (theatrical)"
1684430,"TF1 Vidéo [fr] - (2001) (France) (DVD)"
1684430,"Transmundo Films [ar] - (1995) (Argentina) (theatrical)"
1684430,"Transmundo Home Video (THV) [ar] - (1995) (Argentina) (VHS)"
1684430,"UGC Distribution [fr] - (1994) (France) (theatrical)"
1684430,"Umbrella Entertainment [au] - (2010) (Australia) (DVD)"
1684430,"Umbrella Entertainment [au] - (2012) (Australia) (video) (VOD)"
1684430,"United International Pictures (UIP) [gb] - (1995) (Spain) (theatrical)"
1684430,"Universal Pictures [gb] - (2001) (UK) (DVD)"
1684430,"Universal Studios Home Entertainment [us] - (2010) (USA) (DVD) (Universal Vault Series)"
1684430,"Universal Studios Home Entertainment [us] - (2012) (USA) (DVD)"
1684442,"First Look International [us] - (1997) (USA) (theatrical) (a division of Overseas FilmGroup)"
1684442,"Overseas FilmGroup [us] - (1997) (worldwide) (theatrical)"
1684486,"American Broadcasting Company (ABC) [us] - (2001) (USA) (TV) (broadcast premiere)"
1684486,"Buena Vista Home Entertainment [jp] - (2002) (Japan) (DVD)"
1684486,"Buena Vista Home Entertainment [jp] - (2004) (Japan) (DVD)"
1684486,"Buena Vista Home Entertainment [jp] - (2006) (Japan) (DVD)"
1684486,"Buena Vista International Finland [fi] - (1999) (Finland) (theatrical)"
1684486,"Buena Vista International Italia [it]"
1684486,"Buena Vista International Spain [es]"
1684486,"Buena Vista International [ar] - (1998) (Argentina) (theatrical)"
1684486,"Buena Vista International [us] - (Germany)"
1684486,"Buena Vista Pictures [us] - (1998) (USA) (theatrical)"
1684486,"Falcon [cz] - (1999) (Czech Republic) (theatrical)"
